State,Ranking 1993 ,Points 1993,Grades 1993,Ranking 2003,Points 2003,Grades 2003,Ranking 2014,Points 2014,Grades 2014,Ranking 2015,Points 2015,Grades 2015,Ranking 2016,Points 2016,Grades 2016,Ranking 2017,Points 2017,Grades 2017,Ranking 2018,Points 2018,Grades 2018,Ranking 2019,Points 2019,Grades 2019,Ranking 2020,Points 2020,Grades 2020
New Hampshire,16,13.27,D,11,20.88,D,1,47.45,B,1,57.05,A,1,55.5,A,1,55.4,A,1,56.7,A,1,49.1,B,1,50.1,A
Washington,8,17.67,D,4,28.93,C,2,42.48,B,2,43.83,B,2,45.6,B,2,42.62,B,2,42.7,B,2,47.39,B,2,49.17,B
Hawaii,29,8.91,F,6,26.33,C,3,39.58,B,7,30.16,C,6,29.2,C,6,29.97,C,6,31.1,C,17,25.46,C,16,26.05,C
California,3,23.59,D,1,36.13,B,4,34.12,B,3,35.03,B,3,34.2,B,5,30.23,C,8,30.7,C,7,38.16,B,8,38.55,B
Arizona,12,15.34,D,3,29.06,C,5,33.83,B,5,30.83,C,4,32.9,C,3,32.38,C,4,32.2,C,9,36.87,B,9,37.91,B
Minnesota,21,10.49,D,23,13.26,D,6,30.9,C,4,31.14,C,5,32.2,C,4,31.12,C,3,35.2,B,10,34.41,B,10,35.58,B
North Carolina,22,10.44,D,27,11.57,D,7,29.43,C,13,23.93,D,14,24.1,D,19,22.39,D,20,22.8,D,22,23.46,D,22,23.51,D
Michigan,33,6.98,F,5,27.64,C,8,27.43,C,11,25.81,C,8,26.2,C,12,25.77,C,12,25.9,C,6,41.21,B,7,41.34,B
Connecticut,20,10.71,D,17,17,D,9,26.61,C,10,26.52,C,11,26,C,11,26.18,C,11,27.3,C,24,22.32,D,24,22.88,D
Maine,15,13.42,D,2,35.31,B,10,25.72,C,8,28.3,C,7,28,C,8,28.51,C,7,30.9,C,3,42.96,B,3,45.54,B
New Mexico,19,10.82,D,19,15.98,D,11,24.38,D,6,30.38,C,10,26,C,9,27.98,C,5,32.2,C,5,42.24,B,4,43.65,B
Alaska,18,11.09,D,40,7.5,F,12,23.6,D,12,25.28,C,12,25.6,C,16,24.65,D,17,24.7,C,25,21.98,D,25,21.63,D
Oregon,2,27.81,C,22,14.13,D,13,23.33,D,15,23.32,D,15,23.4,D,7,29.7,C,9,29.7,C,8,37.13,B,6,41.39,B
Kansas,1,36.87,B,8,22.44,D,14,21.97,D,24,18.63,D,23,19,D,21,20.65,D,25,20.1,D,19,24.94,D,15,26.24,C
Maryland,5,19.99,D,9,21.74,D,15,21.22,D,20,19.15,D,21,19.2,D,38,11.83,D,38,12.1,D,36,15.78,D,36,15.92,D
Massachusetts,30,8.55,F,30,10.31,D,16,20.63,D,9,26.82,C,9,26.2,C,14,25.46,C,13,25.5,C,13,31.27,C,12,31.5,C
Florida,32,8.13,F,25,12.22,D,17,18.8,D,28,17.72,D,27,17.9,D,24,18.87,D,27,19.6,D,21,24.04,D,20,23.85,D
Nevada,25,9.82,F,18,16.16,D,18,18.58,D,30,17.31,D,32,16.6,D,10,27.89,C,10,27.9,C,4,42.25,B,5,43.25,B
Illinois,17,11.39,D,14,18.08,D,19,18.13,D,19,19.7,D,19,20.5,D,13,25.58,C,16,25.3,C,16,25.49,C,17,25.86,C
New York,24,9.9,F,20,14.83,D,20,17.06,D,14,23.81,D,13,24.4,D,15,25.41,C,14,25.5,C,11,32.34,C,11,32.56,C
Wyoming,31,8.44,F,12,19.06,D,21,16.84,D,26,17.91,D,28,17.2,D,20,21.24,D,21,21.2,D,26,20.88,D,27,20.88,D
Wisconsin,23,10.23,D,24,12.57,D,22,16.8,D,27,17.86,D,20,19.3,D,27,18.29,D,30,17.3,D,29,18.64,D,30,19.13,D
Missouri,40,5.32,F,26,12.05,D,23,16.57,D,25,18.33,D,26,18.7,D,28,18.25,D,28,18.6,D,35,15.91,D,37,15.18,D
New Jersey,48,3.75,F,13,18.36,D,24,16.05,D,32,16.34,D,33,16.3,D,29,16.95,D,32,16.6,D,31,17.63,D,35,17.04,D
Oklahoma,47,3.83,F,47,4.78,F,25,15.88,D,18,20.23,D,18,20.9,D,22,20.17,D,22,20.4,D,23,23.03,D,23,23.19,D
South Dakota,14,14.38,D,45,5.63,F,26,15.8,D,21,18.84,D,24,18.8,D,25,18.75,D,23,20.3,D,20,24.17,D,18,24.9,D
Nebraska,4,20.15,D,43,6.89,F,27,15.71,D,33,14.98,D,30,16.8,D,31,16.76,D,31,16.7,D,28,19.27,D,26,21.6,D
Louisiana,41,5.29,F,21,14.39,D,28,15.67,D,39,12.9,D,49,8.4,F,47,9.11,F,47,9.8,F,49,8.44,F,48,9.7,F
Colorado,9,16.15,D,15,17.64,D,29,15.37,D,17,20.26,D,17,21.9,D,18,24.23,D,18,23.4,D,18,25.44,C,21,23.77,D
Texas,6,19.76,D,16,17.43,D,30,15.09,D,42,11.17,D,42,11,D,39,11.58,D,39,11.6,D,46,11.61,D,42,12.99,D
Rhode Island,10,15.88,D,37,7.94,F,31,14.71,D,16,23.09,D,16,22.5,D,17,24.57,D,19,23,D,14,30.46,C,14,30.27,C
South Carolina,46,4.1,F,50,2.93,F,32,14.68,D,22,18.8,D,22,19.1,D,23,20.01,D,24,20.1,D,32,17.58,D,33,17.81,D
Indiana,27,9.05,F,34,9.58,F,33,14.04,D,23,18.67,D,31,16.8,D,32,16.36,D,29,17.8,D,30,17.98,D,29,19.73,D
Delaware,34,6.36,F,7,23.78,D,34,13.91,D,34,14.91,D,34,16.2,D,30,16.91,D,33,15.2,D,15,25.58,C,19,24.25,D
North Dakota,35,6.12,F,46,5.39,F,35,12.87,D,37,13.58,D,39,14,D,35,14.15,D,35,14.2,D,37,13.04,D,40,13.4,D
Alabama,50,1.96,F,49,3.57,F,36,12.03,D,40,12.52,D,41,11.2,D,37,11.85,D,26,19.8,D,27,19.87,D,28,19.87,D
Ohio,13,14.7,D,35,9.19,F,37,11.96,D,35,14.57,D,37,14.9,D,34,14.22,D,36,13.9,D,38,12.98,D,39,13.66,D
Montana,28,9.02,F,10,20.94,D,38,11.85,D,28,17.72,D,25,18.7,D,41,10.81,D,46,9.8,F,48,10.62,D,49,9.43,F
Vermont,7,19.38,D,29,11.5,D,39,11.52,D,41,11.52,D,35,15.5,D,33,16.08,D,34,15,D,41,12.2,D,38,14.3,D
