Year,Label,US_Total,US_Male_Percent,US_Female_Percent
2010,Civilian employed population 16 years and over,"139,033,928",0.5210,0.4790
2010,Management business science and arts occupations,"49,975,620",0.4750,0.5250
2010,    Management business and financial occupations,"19,970,732",0.5580,0.4420
2010,        Management occupations,"13,446,602",0.6090,0.3910
2010,        Business and financial operations occupations,"6,524,130",0.4510,0.5490
2010,    Computer engineering and science occupations,"7,161,413",0.7410,0.2590
2010,        Computer and mathematical occupations,"3,437,503",0.7290,0.2710
2010,        Architecture and engineering occupations,"2,506,132",0.8510,0.1490
2010,        Life physical and social science occupations,"1,217,778",0.5500,0.4500
2010,    Education legal community service arts and media occupations,"15,209,925",0.3520,0.6480
2010,        Community and social services occupations,"2,350,316",0.3740,0.6260
2010,        Legal occupations,"1,629,774",0.4940,0.5060
2010,        Education training and library occupations,"8,619,503",0.2650,0.7350
2010,        Arts design entertainment sports and media occupations,"2,610,332",0.5300,0.4700
2010,    Healthcare practitioner and technical occupations,"7,633,550",0.2520,0.7480
2010,        Health diagnosing and treating practitioners and other technical occupations,"5,218,599",0.2680,0.7320
2010,        Health technologists and technicians,"2,414,951",0.2170,0.7830
2010,Service occupations,"25,059,153",0.4330,0.5670
2010,    Healthcare support occupations,"3,482,296",0.1190,0.8810
2010,    Protective service occupations,"3,109,673",0.7750,0.2250
2010,        Fire fighting and prevention and other protective service workers including supervisors,"1,697,924",0.7620,0.2380
2010,        Law enforcement workers including supervisors,"1,411,749",0.7910,0.2090
2010,    Food preparation and serving related occupations,"7,918,347",0.4470,0.5530
2010,    Building and grounds cleaning and maintenance occupations,"5,571,653",0.6040,0.3960
2010,    Personal care and service occupations,"4,977,184",0.2230,0.7770
2010,Sales and office occupations,"34,711,455",0.3710,0.6290
2010,    Sales and related occupations,"15,394,273",0.5020,0.4980
2010,    Office and administrative support occupations,"19,317,182",0.2670,0.7330
2010,Natural resources construction and maintenance occupations,"12,697,304",0.9540,0.0460
2010,    Farming fishing and forestry occupations,"1,046,527",0.8060,0.1940
2010,    Construction and extraction occupations,"7,069,949",0.9730,0.0270
2010,    Installation maintenance and repair occupations,"4,580,828",0.9590,0.0410
2010,Production transportation and material moving occupations,"16,590,396",0.7720,0.2280
2010,    Production occupations,"8,220,827",0.7090,0.2910
2010,    Transportation occupations,"4,876,925",0.8610,0.1390
2010,    Material moving occupations,"3,492,644",0.7970,0.2030
2011,Civilian employed population 16 years and over,"140,399,548",0.5230,0.4770
2011,Management business science and arts occupations,"50,508,936",0.4760,0.5240
2011,    Management business and financial occupations,"20,102,895",0.5570,0.4430
2011,        Management occupations,"13,432,833",0.6090,0.3910
2011,        Business and financial operations occupations,"6,670,062",0.4510,0.5490
2011,    Computer engineering and science occupations,"7,362,155",0.7410,0.2590
2011,        Computer and mathematical occupations,"3,570,832",0.7280,0.2720
2011,        Architecture and engineering occupations,"2,544,827",0.8560,0.1440
2011,        Life physical and social science occupations,"1,246,496",0.5430,0.4570
2011,    Education legal community service arts and media occupations,"15,181,020",0.3540,0.6460
2011,        Community and social services occupations,"2,334,561",0.3690,0.6310
2011,        Legal occupations,"1,648,293",0.4920,0.5080
2011,        Education training and library occupations,"8,568,628",0.2680,0.7320
2011,        Arts design entertainment sports and media occupations,"2,629,538",0.5350,0.4650
2011,    Healthcare practitioner and technical occupations,"7,862,866",0.2550,0.7450
2011,        Health diagnosing and treating practitioners and other technical occupations,"5,391,336",0.2700,0.7300
2011,        Health technologists and technicians,"2,471,530",0.2230,0.7770
2011,Service occupations,"25,739,562",0.4350,0.5650
2011,    Healthcare support occupations,"3,596,917",0.1290,0.8710
2011,    Protective service occupations,"3,157,121",0.7800,0.2200
2011,        Fire fighting and prevention and other protective service workers including supervisors,"1,754,922",0.7590,0.2410
2011,        Law enforcement workers including supervisors,"1,402,199",0.8070,0.1930
2011,    Food preparation and serving related occupations,"8,156,550",0.4480,0.5520
2011,    Building and grounds cleaning and maintenance occupations,"5,716,436",0.6040,0.3960
2011,    Personal care and service occupations,"5,112,538",0.2270,0.7730
2011,Sales and office occupations,"34,447,704",0.3750,0.6250
2011,    Sales and related occupations,"15,326,229",0.5020,0.4980
2011,    Office and administrative support occupations,"19,121,475",0.2720,0.7280
2011,Natural resources construction and maintenance occupations,"12,748,750",0.9540,0.0460
2011,    Farming fishing and forestry occupations,"1,058,593",0.7940,0.2060
2011,    Construction and extraction occupations,"7,001,872",0.9740,0.0260
2011,    Installation maintenance and repair occupations,"4,688,285",0.9600,0.0400
2011,Production transportation and material moving occupations,"16,954,596",0.7750,0.2250
2011,    Production occupations,"8,399,258",0.7140,0.2860
2011,    Transportation occupations,"4,971,886",0.8610,0.1390
2011,    Material moving occupations,"3,583,452",0.7990,0.2010
2012,Civilian employed population 16 years and over,"142,921,687",0.5240,0.4760
2012,Management business science and arts occupations,"51,543,472",0.4770,0.5230
2012,    Management business and financial occupations,"20,504,312",0.5590,0.4410
2012,        Management occupations,"13,736,728",0.6110,0.3890
2012,        Business and financial operations occupations,"6,767,584",0.4540,0.5460
2012,    Computer engineering and science occupations,"7,540,968",0.7450,0.2550
2012,        Computer and mathematical occupations,"3,707,088",0.7360,0.2640
2012,        Architecture and engineering occupations,"2,594,546",0.8560,0.1440
2012,        Life physical and social science occupations,"1,239,334",0.5410,0.4590
2012,    Education legal community service arts and media occupations,"15,414,940",0.3540,0.6460
2012,        Community and social services occupations,"2,350,288",0.3610,0.6390
2012,        Legal occupations,"1,668,711",0.4870,0.5130
2012,        Education training and library occupations,"8,657,296",0.2700,0.7300
2012,        Arts design entertainment sports and media occupations,"2,738,645",0.5280,0.4720
2012,    Healthcare practitioner and technical occupations,"8,083,252",0.2540,0.7460
2012,        Health diagnosing and treating practitioners and other technical occupations,"5,589,227",0.2670,0.7330
2012,        Health technologists and technicians,"2,494,025",0.2250,0.7750
2012,Service occupations,"26,183,178",0.4360,0.5640
2012,    Healthcare support occupations,"3,671,962",0.1330,0.8670
2012,    Protective service occupations,"3,177,241",0.7810,0.2190
2012,        Fire fighting and prevention and other protective service workers including supervisors,"1,770,471",0.7630,0.2370
2012,        Law enforcement workers including supervisors,"1,406,770",0.8040,0.1960
2012,    Food preparation and serving related occupations,"8,271,981",0.4550,0.5450
2012,    Building and grounds cleaning and maintenance occupations,"5,793,353",0.6020,0.3980
2012,    Personal care and service occupations,"5,268,641",0.2280,0.7720
2012,Sales and office occupations,"34,949,741",0.3750,0.6250
2012,    Sales and related occupations,"15,616,900",0.5000,0.5000
2012,    Office and administrative support occupations,"19,332,841",0.2750,0.7250
2012,Natural resources construction and maintenance occupations,"12,851,881",0.9550,0.0450
2012,    Farming fishing and forestry occupations,"1,010,685",0.7980,0.2020
2012,    Construction and extraction occupations,"7,144,085",0.9730,0.0270
2012,    Installation maintenance and repair occupations,"4,697,111",0.9610,0.0390
2012,Production transportation and material moving occupations,"17,393,415",0.7780,0.2220
2012,    Production occupations,"8,569,007",0.7190,0.2810
2012,    Transportation occupations,"5,150,510",0.8640,0.1360
2012,    Material moving occupations,"3,673,898",0.7960,0.2040
