"Label","United States!!Total!!Estimate","United States!!Male!!Estimate","United States!!Female!!Estimate","United States!!Median earnings (dollars)!!Estimate","United States!!Median earnings (dollars) for male!!Estimate","United States!!Median earnings (dollars) for female!!Estimate"
"Civilian employed population 16 years and over","142,921,687","52.4%","47.6%","32,275","38,968","27,352"
"Management, business, science, and arts occupations:","51,543,472","47.7%","52.3%","52,090","65,029","45,165"
"    Management, business, and financial occupations:","20,504,312","55.9%","44.1%","60,427","70,391","50,806"
"        Management occupations","13,736,728","61.1%","38.9%","62,474","71,986","52,210"
"        Business and financial operations occupations","6,767,584","45.4%","54.6%","53,320","63,640","48,162"
"    Computer, engineering, and science occupations:","7,540,968","74.5%","25.5%","68,880","72,125","58,039"
"        Computer and mathematical occupations","3,707,088","73.6%","26.4%","71,066","74,061","62,165"
"        Architecture and engineering occupations","2,594,546","85.6%","14.4%","71,553","73,849","59,889"
"        Life, physical, and social science occupations","1,239,334","54.1%","45.9%","53,234","59,962","49,875"
"    Education, legal, community service, arts, and media occupations:","15,414,940","35.4%","64.6%","40,092","47,310","36,180"
"        Community and social services occupations","2,350,288","36.1%","63.9%","37,098","38,846","36,495"
"        Legal occupations","1,668,711","48.7%","51.3%","70,552","101,725","51,838"
"        Education, training, and library occupations","8,657,296","27.0%","73.0%","38,120","46,712","35,262"
"        Arts, design, entertainment, sports, and media occupations","2,738,645","52.8%","47.2%","35,360","41,071","30,012"
"    Healthcare practitioner and technical occupations:","8,083,252","25.4%","74.6%","52,129","72,137","49,899"
"        Health diagnosing and treating practitioners and other technical occupations","5,589,227","26.7%","73.3%","62,114","97,321","57,392"
"        Health technologists and technicians","2,494,025","22.5%","77.5%","35,488","40,719","34,030"
"Service occupations:","26,183,178","43.6%","56.4%","17,147","21,262","15,089"
"    Healthcare support occupations","3,671,962","13.3%","86.7%","21,779","24,849","21,509"
"    Protective service occupations:","3,177,241","78.1%","21.9%","40,563","42,777","31,002"
"        Fire fighting and prevention, and other protective service workers including supervisors","1,770,471","76.3%","23.7%","28,977","31,467","20,746"
"        Law enforcement workers including supervisors","1,406,770","80.4%","19.6%","53,624","56,433","44,286"
"    Food preparation and serving related occupations","8,271,981","45.5%","54.5%","12,549","14,917","11,668"
"    Building and grounds cleaning and maintenance occupations","5,793,353","60.2%","39.8%","17,500","21,054","13,788"
"    Personal care and service occupations","5,268,641","22.8%","77.2%","14,886","19,725","13,638"
"Sales and office occupations:","34,949,741","37.5%","62.5%","27,258","33,692","25,133"
"    Sales and related occupations","15,616,900","50.0%","50.0%","25,675","38,197","17,100"
"    Office and administrative support occupations","19,332,841","27.5%","72.5%","28,358","30,015","27,946"
"Natural resources, construction, and maintenance occupations:","12,851,881","95.5%","4.5%","32,946","33,850","21,458"
"    Farming, fishing, and forestry occupations","1,010,685","79.8%","20.2%","18,550","20,510","12,048"
"    Construction and extraction occupations","7,144,085","97.3%","2.7%","31,796","31,879","26,661"
"    Installation, maintenance, and repair occupations","4,697,111","96.1%","3.9%","40,135","40,269","34,160"
"Production, transportation, and material moving occupations:","17,393,415","77.8%","22.2%","29,187","31,636","21,324"
"    Production occupations","8,569,007","71.9%","28.1%","30,816","35,259","22,080"
"    Transportation occupations","5,150,510","86.4%","13.6%","31,930","34,356","21,749"
"    Material moving occupations","3,673,898","79.6%","20.4%","21,523","22,426","17,507"
"PERCENT IMPUTED","","","","","",""
"    Occupation","7.1%","(X)","(X)","(X)","(X)","(X)"
