"Label","United States!!Total!!Estimate","United States!!Male!!Estimate","United States!!Percent Male!!Estimate","United States!!Female!!Estimate","United States!!Percent Female!!Estimate"
"Civilian employed population 16 years and over","152,571,041","80,047,885","52.5%","72,523,156","47.5%"
"Management, business, science, and arts occupations:","57,331,293","27,195,823","47.4%","30,135,470","52.6%"
"    Management, business, and financial occupations:","23,130,538","12,718,045","55.0%","10,412,493","45.0%"
"        Management occupations","15,703,814","9,392,484","59.8%","6,311,330","40.2%"
"        Business and financial operations occupations","7,426,724","3,325,561","44.8%","4,101,163","55.2%"
"    Computer, engineering, and science occupations:","8,641,838","6,429,177","74.4%","2,212,661","25.6%"
"        Computer and mathematical occupations","4,517,148","3,354,267","74.3%","1,162,881","25.7%"
"        Architecture and engineering occupations","2,794,618","2,371,630","84.9%","422,988","15.1%"
"        Life, physical, and social science occupations","1,330,072","703,280","52.9%","626,792","47.1%"
"    Education, legal, community service, arts, and media occupations:","16,472,435","5,782,611","35.1%","10,689,824","64.9%"
"        Community and social services occupations","2,627,745","908,824","34.6%","1,718,921","65.4%"
"        Legal occupations","1,712,467","815,683","47.6%","896,784","52.4%"
"        Education, training, and library occupations","9,076,031","2,464,121","27.1%","6,611,910","72.9%"
"        Arts, design, entertainment, sports, and media occupations","3,056,192","1,593,983","52.2%","1,462,209","47.8%"
"    Healthcare practitioner and technical occupations:","9,086,482","2,265,990","24.9%","6,820,492","75.1%"
"        Health diagnosing and treating practitioners and other technical occupations","6,137,525","1,605,277","26.2%","4,532,248","73.8%"
"        Health technologists and technicians","2,948,957","660,713","22.4%","2,288,244","77.6%"
"Service occupations:","27,594,131","12,007,142","43.5%","15,586,989","56.5%"
"    Healthcare support occupations","3,593,770","486,913","13.5%","3,106,857","86.5%"
"    Protective service occupations:","3,170,202","2,476,690","78.1%","693,512","21.9%"
"        Fire fighting and prevention, and other protective service workers including supervisors","1,738,616","1,321,078","76.0%","417,538","24.0%"
"        Law enforcement workers including supervisors","1,431,586","1,155,612","80.7%","275,974","19.3%"
"    Food preparation and serving related occupations","8,999,484","4,160,111","46.2%","4,839,373","53.8%"
"    Building and grounds cleaning and maintenance occupations","6,036,891","3,595,316","59.6%","2,441,575","40.4%"
"    Personal care and service occupations","5,793,784","1,288,112","22.2%","4,505,672","77.8%"
"Sales and office occupations:","35,600,875","13,648,032","38.3%","21,952,843","61.7%"
"    Sales and related occupations","16,014,416","7,975,023","49.8%","8,039,393","50.2%"
"    Office and administrative support occupations","19,586,459","5,673,009","29.0%","13,913,450","71.0%"
"Natural resources, construction, and maintenance occupations:","13,502,451","12,850,757","95.2%","651,694","4.8%"
"    Farming, fishing, and forestry occupations","1,062,331","817,409","76.9%","244,922","23.1%"
"    Construction and extraction occupations","7,696,881","7,466,647","97.0%","230,234","3.0%"
"    Installation, maintenance, and repair occupations","4,743,239","4,566,701","96.3%","176,538","3.7%"
"Production, transportation, and material moving occupations:","18,542,291","14,346,131","77.4%","4,196,160","22.6%"
"    Production occupations","8,792,806","6,235,035","70.9%","2,557,771","29.1%"
"    Transportation occupations","5,718,955","4,935,116","86.3%","783,839","13.7%"
"    Material moving occupations","4,030,530","3,175,980","78.8%","854,550","21.2%"
