Year,Label,US_Total,US_Male_Percent,US_Female_Percent,US_Total_Median_Earnings,US_Median_Earnings_Male,US_Median_Earnings_Female,US_Total_Earnings_Male,US_Total_Earnings_Female
2011,Civilian employed population 16 years and over,"140,399,548",52.30%,47.70%,"32,096","37,935","27,225",0,0
2011,"Management, business, science, and arts occupations:","50,508,936",47.60%,52.40%,"51,793","63,895","44,618",0,0
2011,"    Management, business, and financial occupations:","20,102,895",55.70%,44.30%,"59,211","69,484","50,066",0,0
2011,        Management occupations,"13,432,833",60.90%,39.10%,"61,759","71,184","51,263",0,0
2011,        Business and financial operations occupations,"6,670,062",45.10%,54.90%,"52,595","63,745","47,277",0,0
2011,"    Computer, engineering, and science occupations:","7,362,155",74.10%,25.90%,"67,402","71,421","57,354",0,0
2011,        Computer and mathematical occupations,"3,570,832",72.80%,27.20%,"70,594","73,063","62,155",0,0
2011,        Architecture and engineering occupations,"2,544,827",85.60%,14.40%,"70,504","71,945","57,758",0,0
2011,"        Life, physical, and social science occupations","1,246,496",54.30%,45.70%,"53,069","59,773","49,307",0,0
2011,"    Education, legal, community service, arts, and media occupations:","15,181,020",35.40%,64.60%,"40,170","47,491","36,167",0,0
2011,        Community and social services occupations,"2,334,561",36.90%,63.10%,"36,951","38,577","36,374",0,0
2011,        Legal occupations,"1,648,293",49.20%,50.80%,"71,323","102,200","51,621",0,0
2011,"        Education, training, and library occupations","8,568,628",26.80%,73.20%,"38,339","46,903","35,274",0,0
2011,"        Arts, design, entertainment, sports, and media occupations","2,629,538",53.50%,46.50%,"35,270","40,807","30,128",0,0
2011,    Healthcare practitioner and technical occupations:,"7,862,866",25.50%,74.50%,"51,763","71,833","48,627",0,0
2011,        Health diagnosing and treating practitioners and other technical occupations,"5,391,336",27.00%,73.00%,"61,845","100,112","56,901",0,0
2011,        Health technologists and technicians,"2,471,530",22.30%,77.70%,"35,234","40,365","33,735",0,0
2011,Service occupations:,"25,739,562",43.50%,56.50%,"17,061","21,230","14,955",0,0
2011,    Healthcare support occupations,"3,596,917",12.90%,87.10%,"21,548","23,747","21,331",0,0
2011,    Protective service occupations:,"3,157,121",78.00%,22.00%,"40,801","44,328","30,574",0,0
2011,"        Fire fighting and prevention, and other protective service workers including supervisors","1,754,922",75.90%,24.10%,"29,205","31,975","20,867",0,0
2011,        Law enforcement workers including supervisors,"1,402,199",80.70%,19.30%,"53,929","56,659","42,706",0,0
2011,    Food preparation and serving related occupations,"8,156,550",44.80%,55.20%,"12,436","14,820","11,588",0,0
2011,    Building and grounds cleaning and maintenance occupations,"5,716,436",60.40%,39.60%,"17,365","20,887","13,745",0,0
2011,    Personal care and service occupations,"5,112,538",22.70%,77.30%,"14,632","19,100","13,598",0,0
2011,Sales and office occupations:,"34,447,704",37.50%,62.50%,"27,206","33,241","24,855",0,0
2011,    Sales and related occupations,"15,326,229",50.20%,49.80%,"25,478","37,206","17,007",0,0
2011,    Office and administrative support occupations,"19,121,475",27.20%,72.80%,"28,180","29,955","27,731",0,0
2011,"Natural resources, construction, and maintenance occupations:","12,748,750",95.40%,4.60%,"32,284","32,735","21,030",0,0
2011,"    Farming, fishing, and forestry occupations","1,058,593",79.40%,20.60%,"17,595","19,671","12,384",0,0
2011,    Construction and extraction occupations,"7,001,872",97.40%,2.60%,"31,228","31,324","25,908",0,0
2011,"    Installation, maintenance, and repair occupations","4,688,285",96.00%,4.00%,"39,495","39,680","36,197",0,0
2011,"Production, transportation, and material moving occupations:","16,954,596",77.50%,22.50%,"28,273","31,144","21,217",0,0
2011,    Production occupations,"8,399,258",71.40%,28.60%,"30,341","34,186","22,035",0,0
2011,    Transportation occupations,"4,971,886",86.10%,13.90%,"31,228","32,637","21,227",0,0
2011,    Material moving occupations,"3,583,452",79.90%,20.10%,"21,423","22,365","17,400",0,0
