Year,Label,US_Total,US_Male_Percent,US_Female_Percent,US_Total_Median_Earnings ,US_Median_Earnings_Male,US_Median_Earnings_Female,US_Total_Earnings_Male,US_Total_Earnings_Female
2015,Civilian employed population 16 years and over,"150,534,773",52.60%,47.40%,0,0,0,"79,120,041","71,414,732"
2015,"Management, business, science, and arts occupations:","55,873,365",47.50%,52.50%,0,0,0,"26,536,522","29,336,843"
2015,"    Management, business, and financial occupations:","22,657,853",55.20%,44.80%,0,0,0,"12,516,216","10,141,637"
2015,        Management occupations,"15,436,375",60.10%,39.90%,0,0,0,"9,283,974","6,152,401"
2015,        Business and financial operations occupations,"7,221,478",44.80%,55.20%,0,0,0,"3,232,242","3,989,236"
2015,"    Computer, engineering, and science occupations:","8,276,842",74.30%,25.70%,0,0,0,"6,150,785","2,126,057"
2015,        Computer and mathematical occupations,"4,267,389",74.20%,25.80%,0,0,0,"3,168,110","1,099,279"
2015,        Architecture and engineering occupations,"2,691,570",84.90%,15.10%,0,0,0,"2,283,830","407,740"
2015,"        Life, physical, and social science occupations","1,317,883",53.00%,47.00%,0,0,0,"698,845","619,038"
2015,"    Education, legal, community service, arts, and media occupations:","16,182,850",35.20%,64.80%,0,0,0,"5,692,198","10,490,652"
2015,        Community and social services occupations,"2,575,707",34.30%,65.70%,0,0,0,"884,494","1,691,213"
2015,        Legal occupations,"1,684,406",48.60%,51.40%,0,0,0,"818,563","865,843"
2015,"        Education, training, and library occupations","8,957,117",27.20%,72.80%,0,0,0,"2,432,305","6,524,812"
2015,"        Arts, design, entertainment, sports, and media occupations","2,965,620",52.50%,47.50%,0,0,0,"1,556,836","1,408,784"
2015,    Healthcare practitioner and technical occupations:,"8,755,820",24.90%,75.10%,0,0,0,"2,177,323","6,578,497"
2015,        Health diagnosing and treating practitioners and other technical occupations,"5,894,123",26.10%,73.90%,0,0,0,"1,537,843","4,356,280"
2015,        Health technologists and technicians,"2,861,697",22.30%,77.70%,0,0,0,"639,480","2,222,217"
2015,Service occupations:,"27,047,705",43.30%,56.70%,0,0,0,"11,720,432","15,327,273"
2015,    Healthcare support occupations,"3,588,015",13.30%,86.70%,0,0,0,"475,849","3,112,166"
2015,    Protective service occupations:,"3,199,233",77.90%,22.10%,0,0,0,"2,490,978","708,255"
2015,"        Fire fighting and prevention, and other protective service workers including supervisors","1,768,050",75.90%,24.10%,0,0,0,"1,341,784","426,266"
2015,        Law enforcement workers including supervisors,"1,431,183",80.30%,19.70%,0,0,0,"1,149,194","281,989"
2015,    Food preparation and serving related occupations,"8,816,644",46.10%,53.90%,0,0,0,"4,066,120","4,750,524"
2015,    Building and grounds cleaning and maintenance occupations,"5,833,080",59.00%,41.00%,0,0,0,"3,440,672","2,392,408"
2015,    Personal care and service occupations,"5,610,733",22.20%,77.80%,0,0,0,"1,246,813","4,363,920"
2015,Sales and office occupations:,"35,511,295",38.10%,61.90%,0,0,0,"13,532,011","21,979,284"
2015,    Sales and related occupations,"15,966,837",49.80%,50.20%,0,0,0,"7,951,334","8,015,503"
2015,    Office and administrative support occupations,"19,544,458",28.60%,71.40%,0,0,0,"5,580,677","13,963,781"
2015,"Natural resources, construction, and maintenance occupations:","13,542,970",95.30%,4.70%,0,0,0,"12,902,921","640,049"
2015,"    Farming, fishing, and forestry occupations","1,102,425",77.20%,22.80%,0,0,0,"850,882","251,543"
2015,    Construction and extraction occupations,"7,663,198",97.20%,2.80%,0,0,0,"7,444,863","218,335"
2015,"    Installation, maintenance, and repair occupations","4,777,347",96.40%,3.60%,0,0,0,"4,607,176","170,171"
2015,"Production, transportation, and material moving occupations:","18,559,438",77.70%,22.30%,0,0,0,"14,428,155","4,131,283"
2015,    Production occupations,"8,970,126",71.70%,28.30%,0,0,0,"6,428,556","2,541,570"
2015,    Transportation occupations,"5,569,842",86.30%,13.70%,0,0,0,"4,806,599","763,243"
2015,    Material moving occupations,"4,019,470",79.40%,20.60%,0,0,0,"3,193,000","826,470"
