Year,Label,US_Total,US_Male_Percent,US_Female_Percent,US_Total_Median_Earnings ,US_Median_Earnings_Male,US_Median_Earnings_Female,US_Total_Earnings_Male,US_Total_Earnings_Female
2010,Civilian employed population 16 years and over,"139,033,928",52.10%,47.90%,"31,728","37,464","26,864",0,0
2010,"Management, business, science, and arts occupations:","49,975,620",47.50%,52.50%,"51,209","62,270","43,438",0,0
2010,"    Management, business, and financial occupations:","19,970,732",55.80%,44.20%,"57,143","67,087","48,575",0,0
2010,        Management occupations,"13,446,602",60.90%,39.10%,"61,017","70,268","50,546",0,0
2010,        Business and financial operations occupations,"6,524,130",45.10%,54.90%,"51,729","61,882","46,262",0,0
2010,"    Computer, engineering, and science occupations:","7,161,413",74.10%,25.90%,"66,268","70,518","55,836",0,0
2010,        Computer and mathematical occupations,"3,437,503",72.90%,27.10%,"68,672","71,488","61,120",0,0
2010,        Architecture and engineering occupations,"2,506,132",85.10%,14.90%,"69,653","71,223","56,286",0,0
2010,"        Life, physical, and social science occupations","1,217,778",55.00%,45.00%,"52,174","58,340","47,735",0,0
2010,"    Education, legal, community service, arts, and media occupations:","15,209,925",35.20%,64.80%,"40,001","47,095","36,024",0,0
2010,        Community and social services occupations,"2,350,316",37.40%,62.60%,"36,796","38,689","36,063",0,0
2010,        Legal occupations,"1,629,774",49.40%,50.60%,"70,446","101,216","50,767",0,0
2010,"        Education, training, and library occupations","8,619,503",26.50%,73.50%,"38,573","47,099","35,487",0,0
2010,"        Arts, design, entertainment, sports, and media occupations","2,610,332",53.00%,47.00%,"34,486","40,076","30,048",0,0
2010,    Healthcare practitioner and technical occupations:,"7,633,550",25.20%,74.80%,"51,305","71,726","47,606",0,0
2010,        Health diagnosing and treating practitioners and other technical occupations,"5,218,599",26.80%,73.20%,"61,369","98,119","55,981",0,0
2010,        Health technologists and technicians,"2,414,951",21.70%,78.30%,"34,980","40,305","33,044",0,0
2010,Service occupations:,"25,059,153",43.30%,56.70%,"16,910","21,104","14,792",0,0
2010,    Healthcare support occupations,"3,482,296",11.90%,88.10%,"21,381","23,791","21,174",0,0
2010,    Protective service occupations:,"3,109,673",77.50%,22.50%,"40,726","43,489","31,021",0,0
2010,"        Fire fighting and prevention, and other protective service workers including supervisors","1,697,924",76.20%,23.80%,"29,140","31,827","20,448",0,0
2010,        Law enforcement workers including supervisors,"1,411,749",79.10%,20.90%,"51,583","54,178","42,360",0,0
2010,    Food preparation and serving related occupations,"7,918,347",44.70%,55.30%,"12,312","14,574","11,491",0,0
2010,    Building and grounds cleaning and maintenance occupations,"5,571,653",60.40%,39.60%,"17,198","20,864","13,376",0,0
2010,    Personal care and service occupations,"4,977,184",22.30%,77.70%,"14,583","19,204","13,522",0,0
2010,Sales and office occupations:,"34,711,455",37.10%,62.90%,"26,907","33,045","24,637",0,0
2010,    Sales and related occupations,"15,394,273",50.20%,49.80%,"25,585","37,481","17,138",0,0
2010,    Office and administrative support occupations,"19,317,182",26.70%,73.30%,"27,521","29,566","27,210",0,0
2010,"Natural resources, construction, and maintenance occupations:","12,697,304",95.40%,4.60%,"31,793","32,090","20,954",0,0
2010,"    Farming, fishing, and forestry occupations","1,046,527",80.60%,19.40%,"17,159","18,916","12,314",0,0
2010,    Construction and extraction occupations,"7,069,949",97.30%,2.70%,"30,929","31,029","25,414",0,0
2010,"    Installation, maintenance, and repair occupations","4,580,828",95.90%,4.10%,"38,936","39,311","32,507",0,0
2010,"Production, transportation, and material moving occupations:","16,590,396",77.20%,22.80%,"27,705","30,951","20,967",0,0
2010,    Production occupations,"8,220,827",70.90%,29.10%,"29,909","33,375","21,565",0,0
2010,    Transportation occupations,"4,876,925",86.10%,13.90%,"31,105","32,250","21,413",0,0
2010,    Material moving occupations,"3,492,644",79.70%,20.30%,"21,204","22,153","17,256",0,0
2011,Civilian employed population 16 years and over,"140,399,548",52.30%,47.70%,"32,096","37,935","27,225",0,0
2011,"Management, business, science, and arts occupations:","50,508,936",47.60%,52.40%,"51,793","63,895","44,618",0,0
2011,"    Management, business, and financial occupations:","20,102,895",55.70%,44.30%,"59,211","69,484","50,066",0,0
2011,        Management occupations,"13,432,833",60.90%,39.10%,"61,759","71,184","51,263",0,0
2011,        Business and financial operations occupations,"6,670,062",45.10%,54.90%,"52,595","63,745","47,277",0,0
2011,"    Computer, engineering, and science occupations:","7,362,155",74.10%,25.90%,"67,402","71,421","57,354",0,0
2011,        Computer and mathematical occupations,"3,570,832",72.80%,27.20%,"70,594","73,063","62,155",0,0
2011,        Architecture and engineering occupations,"2,544,827",85.60%,14.40%,"70,504","71,945","57,758",0,0
2011,"        Life, physical, and social science occupations","1,246,496",54.30%,45.70%,"53,069","59,773","49,307",0,0
2011,"    Education, legal, community service, arts, and media occupations:","15,181,020",35.40%,64.60%,"40,170","47,491","36,167",0,0
2011,        Community and social services occupations,"2,334,561",36.90%,63.10%,"36,951","38,577","36,374",0,0
2011,        Legal occupations,"1,648,293",49.20%,50.80%,"71,323","102,200","51,621",0,0
2011,"        Education, training, and library occupations","8,568,628",26.80%,73.20%,"38,339","46,903","35,274",0,0
2011,"        Arts, design, entertainment, sports, and media occupations","2,629,538",53.50%,46.50%,"35,270","40,807","30,128",0,0
2011,    Healthcare practitioner and technical occupations:,"7,862,866",25.50%,74.50%,"51,763","71,833","48,627",0,0
2011,        Health diagnosing and treating practitioners and other technical occupations,"5,391,336",27.00%,73.00%,"61,845","100,112","56,901",0,0
2011,        Health technologists and technicians,"2,471,530",22.30%,77.70%,"35,234","40,365","33,735",0,0
2011,Service occupations:,"25,739,562",43.50%,56.50%,"17,061","21,230","14,955",0,0
2011,    Healthcare support occupations,"3,596,917",12.90%,87.10%,"21,548","23,747","21,331",0,0
2011,    Protective service occupations:,"3,157,121",78.00%,22.00%,"40,801","44,328","30,574",0,0
2011,"        Fire fighting and prevention, and other protective service workers including supervisors","1,754,922",75.90%,24.10%,"29,205","31,975","20,867",0,0
2011,        Law enforcement workers including supervisors,"1,402,199",80.70%,19.30%,"53,929","56,659","42,706",0,0
2011,    Food preparation and serving related occupations,"8,156,550",44.80%,55.20%,"12,436","14,820","11,588",0,0
2011,    Building and grounds cleaning and maintenance occupations,"5,716,436",60.40%,39.60%,"17,365","20,887","13,745",0,0
2011,    Personal care and service occupations,"5,112,538",22.70%,77.30%,"14,632","19,100","13,598",0,0
2011,Sales and office occupations:,"34,447,704",37.50%,62.50%,"27,206","33,241","24,855",0,0
2011,    Sales and related occupations,"15,326,229",50.20%,49.80%,"25,478","37,206","17,007",0,0
2011,    Office and administrative support occupations,"19,121,475",27.20%,72.80%,"28,180","29,955","27,731",0,0
2011,"Natural resources, construction, and maintenance occupations:","12,748,750",95.40%,4.60%,"32,284","32,735","21,030",0,0
2011,"    Farming, fishing, and forestry occupations","1,058,593",79.40%,20.60%,"17,595","19,671","12,384",0,0
2011,    Construction and extraction occupations,"7,001,872",97.40%,2.60%,"31,228","31,324","25,908",0,0
2011,"    Installation, maintenance, and repair occupations","4,688,285",96.00%,4.00%,"39,495","39,680","36,197",0,0
2011,"Production, transportation, and material moving occupations:","16,954,596",77.50%,22.50%,"28,273","31,144","21,217",0,0
2011,    Production occupations,"8,399,258",71.40%,28.60%,"30,341","34,186","22,035",0,0
2011,    Transportation occupations,"4,971,886",86.10%,13.90%,"31,228","32,637","21,227",0,0
2011,    Material moving occupations,"3,583,452",79.90%,20.10%,"21,423","22,365","17,400",0,0
2012,Civilian employed population 16 years and over,"142,921,687",52.40%,47.60%,"32,275","38,968","27,352",0,0
2012,"Management, business, science, and arts occupations:","51,543,472",47.70%,52.30%,"52,090","65,029","45,165",0,0
2012,"    Management, business, and financial occupations:","20,504,312",55.90%,44.10%,"60,427","70,391","50,806",0,0
2012,        Management occupations,"13,736,728",61.10%,38.90%,"62,474","71,986","52,210",0,0
2012,        Business and financial operations occupations,"6,767,584",45.40%,54.60%,"53,320","63,640","48,162",0,0
2012,"    Computer, engineering, and science occupations:","7,540,968",74.50%,25.50%,"68,880","72,125","58,039",0,0
2012,        Computer and mathematical occupations,"3,707,088",73.60%,26.40%,"71,066","74,061","62,165",0,0
2012,        Architecture and engineering occupations,"2,594,546",85.60%,14.40%,"71,553","73,849","59,889",0,0
2012,"        Life, physical, and social science occupations","1,239,334",54.10%,45.90%,"53,234","59,962","49,875",0,0
2012,"    Education, legal, community service, arts, and media occupations:","15,414,940",35.40%,64.60%,"40,092","47,310","36,180",0,0
2012,        Community and social services occupations,"2,350,288",36.10%,63.90%,"37,098","38,846","36,495",0,0
2012,        Legal occupations,"1,668,711",48.70%,51.30%,"70,552","101,725","51,838",0,0
2012,"        Education, training, and library occupations","8,657,296",27.00%,73.00%,"38,120","46,712","35,262",0,0
2012,"        Arts, design, entertainment, sports, and media occupations","2,738,645",52.80%,47.20%,"35,360","41,071","30,012",0,0
2012,    Healthcare practitioner and technical occupations:,"8,083,252",25.40%,74.60%,"52,129","72,137","49,899",0,0
2012,        Health diagnosing and treating practitioners and other technical occupations,"5,589,227",26.70%,73.30%,"62,114","97,321","57,392",0,0
2012,        Health technologists and technicians,"2,494,025",22.50%,77.50%,"35,488","40,719","34,030",0,0
2012,Service occupations:,"26,183,178",43.60%,56.40%,"17,147","21,262","15,089",0,0
2012,    Healthcare support occupations,"3,671,962",13.30%,86.70%,"21,779","24,849","21,509",0,0
2012,    Protective service occupations:,"3,177,241",78.10%,21.90%,"40,563","42,777","31,002",0,0
2012,"        Fire fighting and prevention, and other protective service workers including supervisors","1,770,471",76.30%,23.70%,"28,977","31,467","20,746",0,0
2012,        Law enforcement workers including supervisors,"1,406,770",80.40%,19.60%,"53,624","56,433","44,286",0,0
2012,    Food preparation and serving related occupations,"8,271,981",45.50%,54.50%,"12,549","14,917","11,668",0,0
2012,    Building and grounds cleaning and maintenance occupations,"5,793,353",60.20%,39.80%,"17,500","21,054","13,788",0,0
2012,    Personal care and service occupations,"5,268,641",22.80%,77.20%,"14,886","19,725","13,638",0,0
2012,Sales and office occupations:,"34,949,741",37.50%,62.50%,"27,258","33,692","25,133",0,0
2012,    Sales and related occupations,"15,616,900",50.00%,50.00%,"25,675","38,197","17,100",0,0
2012,    Office and administrative support occupations,"19,332,841",27.50%,72.50%,"28,358","30,015","27,946",0,0
2012,"Natural resources, construction, and maintenance occupations:","12,851,881",95.50%,4.50%,"32,946","33,850","21,458",0,0
2012,"    Farming, fishing, and forestry occupations","1,010,685",79.80%,20.20%,"18,550","20,510","12,048",0,0
2012,    Construction and extraction occupations,"7,144,085",97.30%,2.70%,"31,796","31,879","26,661",0,0
2012,"    Installation, maintenance, and repair occupations","4,697,111",96.10%,3.90%,"40,135","40,269","34,160",0,0
2012,"Production, transportation, and material moving occupations:","17,393,415",77.80%,22.20%,"29,187","31,636","21,324",0,0
