T05,"Ratio of girls to boys in primary, secondary and tertiary education",,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",1995,Ratio of girls to boys in primary education,0.9078,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2005,Ratio of girls to boys in primary education,0.9544,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2010,Ratio of girls to boys in primary education,0.9745,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2015,Ratio of girls to boys in primary education,0.9995,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2016,Ratio of girls to boys in primary education,1.0081,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2017,Ratio of girls to boys in primary education,1.0052,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2018,Ratio of girls to boys in primary education,1.0035,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",1995,Ratio of girls to boys in secondary education,0.8792,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2005,Ratio of girls to boys in secondary education,0.9473,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2010,Ratio of girls to boys in secondary education,0.9674,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2015,Ratio of girls to boys in secondary education,0.9879,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2016,Ratio of girls to boys in secondary education,0.9894,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2017,Ratio of girls to boys in secondary education,0.9877,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2018,Ratio of girls to boys in secondary education,0.9885,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",1995,Ratio of girls to boys in tertiary education,0.9488,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2005,Ratio of girls to boys in tertiary education,1.0496,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2010,Ratio of girls to boys in tertiary education,1.0771,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2015,Ratio of girls to boys in tertiary education,1.1169,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2016,Ratio of girls to boys in tertiary education,1.1246,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2017,Ratio of girls to boys in tertiary education,1.1313,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2018,Ratio of girls to boys in tertiary education,1.1393,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,1995,Ratio of girls to boys in primary education,0.8621,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2005,Ratio of girls to boys in primary education,0.9277,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2010,Ratio of girls to boys in primary education,0.9473,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2015,Ratio of girls to boys in primary education,0.9658,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2016,Ratio of girls to boys in primary education,0.9704,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2017,Ratio of girls to boys in primary education,0.9728,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2018,Ratio of girls to boys in primary education,0.9747,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,1995,Ratio of girls to boys in secondary education,0.8646,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2005,Ratio of girls to boys in secondary education,0.9869,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2010,Ratio of girls to boys in secondary education,0.9774,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2015,Ratio of girls to boys in secondary education,0.9944,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2016,Ratio of girls to boys in secondary education,0.9926,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2017,Ratio of girls to boys in secondary education,0.9964,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2018,Ratio of girls to boys in secondary education,1.0010,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,1995,Ratio of girls to boys in tertiary education,0.7635,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2005,Ratio of girls to boys in tertiary education,0.9641,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2010,Ratio of girls to boys in tertiary education,1.0743,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2015,Ratio of girls to boys in tertiary education,1.1014,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2016,Ratio of girls to boys in tertiary education,1.1500,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2017,Ratio of girls to boys in tertiary education,1.1386,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2018,Ratio of girls to boys in tertiary education,1.1702,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
202,Sub-Saharan Africa,1995,Ratio of girls to boys in primary education,0.8392,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
202,Sub-Saharan Africa,2005,Ratio of girls to boys in primary education,0.8818,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
202,Sub-Saharan Africa,2010,Ratio of girls to boys in primary education,0.9251,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
202,Sub-Saharan Africa,2015,Ratio of girls to boys in primary education,0.9573,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
202,Sub-Saharan Africa,2016,Ratio of girls to boys in primary education,0.9563,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
202,Sub-Saharan Africa,2017,Ratio of girls to boys in primary education,0.9576,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
202,Sub-Saharan Africa,2018,Ratio of girls to boys in primary education,0.9577,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
202,Sub-Saharan Africa,1995,Ratio of girls to boys in secondary education,0.8049,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
202,Sub-Saharan Africa,2005,Ratio of girls to boys in secondary education,0.7823,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
