fe,all_workers,all_salary,male_workers,male_salary,female_workers,female_salary,female_to_male_salary_ratio,female_to_male_workers_ratio,male_worker_percent,female_worker_percent,representation_gap,male_probability,Category
CONSTRUCTION,5722,749,5586,751,137,704,0.937416778,0.0245256,0.976232087,0.023942677,5449,1,SL
MAINTENANCE,4301,839,4159,842,143,761,0.903800475,0.034383265,0.966984422,0.033248082,4016,1,SL
Driver sales workers and truck drivers,2687,747,2582,751,105,632,0.841544607,0.04066615,0.960922962,0.039077038,2477,1,SL
Police and sheriff's patrol officers,655,1002,569,1001,86,1009,1.007992008,0.151142355,0.86870229,0.13129771,483,1,PS
TRANSPORTATION,6953,646,5998,679,955,494,0.727540501,0.15921974,0.862649216,0.137350784,5043,1,SL
Engineers all other,393,1527,339,1537,54,1448,0.94209499,0.159292035,0.86259542,0.13740458,285,1,STEM
ENGINEERING,2656,1424,2272,1452,383,1257,0.865702479,0.168573944,0.855421687,0.144201807,1889,1,STEM
Laborers and freight stock and material movers hand,1433,526,1214,547,219,455,0.831809872,0.180395387,0.847173761,0.152826239,995,1,SL
Clergy,376,1002,316,1021,60,924,0.904995103,0.189873418,0.840425532,0.159574468,256,1,PS
Chefs and head cooks,340,619,285,656,55,492,0.75,0.192982456,0.838235294,0.161764706,230,1,FS
Miscellaneous agricultural workers,613,445,511,460,102,398,0.865217391,0.199608611,0.83360522,0.16639478,409,1,SL
First-line supervisors of production and operating workers,783,875,650,924,133,623,0.674242424,0.204615385,0.830140485,0.169859515,517,1,M
Software developers applications and systems software,1287,1682,1054,1751,232,1415,0.808109652,0.220113852,0.818958819,0.18026418,822,1,STEM
Transportation storage and distribution managers,276,966,224,1006,52,749,0.744532803,0.232142857,0.811594203,0.188405797,172,1,M
Engineering technicians except drafters,352,963,284,984,68,827,0.840447154,0.23943662,0.806818182,0.193181818,216,1,STEM
PROTECTIVE SERVICE,2729,796,2181,851,547,655,0.769682726,0.250802384,0.799193844,0.200439722,1634,1,PS
Metal workers and plastic workers all other,351,639,278,678,72,581,0.856932153,0.258992806,0.792022792,0.205128205,206,1,SL
Computer programmers,450,1438,357,1501,93,1302,0.867421719,0.260504202,0.793333333,0.206666667,264,1,STEM
AGRICULTURAL,810,464,637,477,174,437,0.916142558,0.273155416,0.786419753,0.214814815,463,1,SL
Security guards and gaming surveillance officers,708,567,555,592,153,515,0.869932432,0.275675676,0.783898305,0.216101695,402,1,PS
Computer occupations all other,490,1227,374,1252,116,1145,0.914536741,0.310160428,0.763265306,0.236734694,258,1,STEM
Production workers all other,846,625,643,666,203,501,0.752252252,0.315707621,0.760047281,0.239952719,440,1,SL
COMPUTATIONAL,4009,1428,3036,1503,973,1245,0.828343313,0.320487484,0.757296084,0.242703916,2063,1,STEM
Butchers and other meat poultry and fish processing workers,247,542,187,582,60,463,0.795532646,0.320855615,0.75708502,0.24291498,127,1,FS
General and operations managers,823,1260,621,1347,202,1002,0.743875278,0.325281804,0.754556501,0.245443499,419,1,M
Bailiffs correctional officers and jailers,453,754,341,779,112,686,0.880616175,0.328445748,0.752759382,0.247240618,229,1,PS
Sales representatives wholesale and manufacturing,1138,1020,843,1066,295,917,0.860225141,0.349940688,0.740773286,0.259226714,548,1,B
Computer support specialists,396,1079,291,1135,105,908,0.8,0.360824742,0.734848485,0.265151515,186,1,STEM
PRODUCTION,7551,663,5548,729,2003,519,0.711934156,0.361031002,0.734737121,0.265262879,3545,1,SL
Computer and information systems managers,636,1728,466,1817,169,1563,0.860209136,0.362660944,0.732704403,0.26572327,297,1,STEM
Chief executives,1046,2041,763,2251,283,1836,0.815637494,0.370904325,0.729445507,0.270554493,480,1,M
Janitors and building cleaners,1536,507,1111,547,425,429,0.784277879,0.382538254,0.723307292,0.276692708,686,1,SL
Shipping receiving and traffic clerks,502,591,354,604,148,566,0.937086093,0.418079096,0.705179283,0.294820717,206,1,PS
Securities commodities and financial services sales agents,211,1155,146,1461,65,767,0.524982888,0.445205479,0.691943128,0.308056872,81,1,B
First-line supervisors of non-retail sales workers,835,1028,556,1140,280,896,0.785964912,0.503597122,0.665868263,0.335329341,276,1,M
Sales representatives services all other,406,966,268,1147,139,699,0.609415867,0.518656716,0.660098522,0.342364532,129,1,B
Computer systems analysts,499,1389,325,1462,173,1256,0.859097127,0.532307692,0.651302605,0.346693387,152,1,STEM
Web developers,151,1165,98,1233,53,1026,0.832116788,0.540816327,0.649006623,0.350993377,45,1,STEM
GROUNDSKEEPING,3605,486,2330,517,1275,419,0.810444874,0.5472103,0.646324549,0.353675451,1055,1,SL
Physical scientists all other,189,1553,121,1770,68,1170,0.661016949,0.561983471,0.64021164,0.35978836,53,1,STEM
Stock clerks and order fillers,1027,520,651,537,376,506,0.942271881,0.577572965,0.633885102,0.366114898,275,1,SL
Inspectors testers sorters samplers and weighers,701,710,440,844,260,583,0.690758294,0.590909091,0.62767475,0.370898716,180,1,SL
First-line supervisors of housekeeping and janitorial workers,172,620,108,700,64,571,0.815714286,0.592592593,0.627906977,0.372093023,44,1,M
Lawyers,803,1886,503,1914,300,1717,0.89707419,0.596421471,0.626400996,0.373599004,203,1,B
Food processing workers all other,132,594,82,679,50,508,0.748159057,0.609756098,0.621212121,0.378787879,32,1,FS
Cooks,1302,416,808,427,494,400,0.93676815,0.611386139,0.620583717,0.379416283,314,1,FS
Postal service mail carriers,302,954,187,1021,115,854,0.836434868,0.614973262,0.619205298,0.380794702,72,1,PS
Physicians and surgeons,740,1824,457,1915,283,1533,0.800522193,0.619256018,0.617567568,0.382432432,174,1,STEM
Managers all other,2803,1408,1717,1525,1085,1213,0.795409836,0.631916133,0.612557974,0.387085266,632,1,M
Personal financial advisors,407,1419,248,1738,159,1033,0.594361335,0.641129032,0.609336609,0.390663391,89,1,B
Retail salespersons,1918,590,1159,694,759,494,0.711815562,0.654874892,0.604275287,0.395724713,400,1,B
Miscellaneous assemblers and fabricators,950,581,573,637,377,512,0.803767661,0.657940663,0.603157895,0.396842105,196,1,SL
Marketing and sales managers,948,1462,570,1603,378,1258,0.78477854,0.663157895,0.601265823,0.398734177,192,1,M
Postal service clerks,127,927,76,974,51,833,0.85523614,0.671052632,0.598425197,0.401574803,25,1,PS
MANAGEMENT,12480,1351,7332,1486,5147,1139,0.766487214,0.701991271,0.5875,0.412419872,2185,1,M
Bus drivers,323,615,184,681,138,572,0.839941263,0.75,0.569659443,0.427244582,46,1,SL
Financial analysts,295,1426,168,1680,127,1171,0.69702381,0.755952381,0.569491525,0.430508475,41,1,B
Administrative services managers,170,1191,96,1451,73,981,0.676085458,0.760416667,0.564705882,0.429411765,23,1,M
ARTS,1643,1001,930,1088,713,942,0.865808824,0.766666667,0.566037736,0.433962264,217,1,SL
Purchasing managers,193,1348,109,1404,84,1226,0.873219373,0.770642202,0.564766839,0.435233161,25,1,M
SCIENCE,1176,1206,662,1379,514,1067,0.773749094,0.776435045,0.56292517,0.43707483,148,1,STEM
Postsecondary teachers,917,1258,516,1405,401,1144,0.814234875,0.777131783,0.562704471,0.437295529,115,1,PS
Sales and related workers all other,158,916,89,1088,70,727,0.668198529,0.786516854,0.563291139,0.443037975,19,1,B
Producers and directors,120,1270,67,1340,53,1234,0.920895522,0.791044776,0.558333333,0.441666667,14,1,SL
SALES,9725,716,5423,880,4303,578,0.656818182,0.793472248,0.557634961,0.442467866,1120,1,B
First-line supervisors of retail sales workers,2326,711,1296,825,1030,614,0.744242424,0.794753086,0.557179708,0.442820292,266,1,M
First-line supervisors of gaming workers,117,769,65,900,52,680,0.755555556,0.8,0.555555556,0.444444444,13,1,M
Management analysts,529,1431,291,1519,237,1348,0.887425938,0.81443299,0.550094518,0.448015123,54,1,STEM
Editors,108,1148,58,1205,50,1125,0.933609959,0.862068966,0.537037037,0.462962963,8,1,SL
Compliance officers,235,1198,126,1375,109,1025,0.745454545,0.865079365,0.536170213,0.463829787,17,1,PS
Purchasing agents except wholesale retail and farm products,260,1009,136,1020,124,986,0.966666667,0.911764706,0.523076923,0.476923077,12,1,B
CULINARY,4124,441,2133,481,1991,414,0.860706861,0.933427098,0.517216295,0.482783705,142,1,FS
Wholesale and retail buyers except farm products,142,926,73,886,69,985,1.111738149,0.945205479,0.514084507,0.485915493,4,1,B
Food service managers,763,742,389,820,374,680,0.829268293,0.961439589,0.50982962,0.49017038,15,1,M
Designers,593,993,301,1099,291,918,0.835304823,0.966777409,0.507588533,0.490725126,10,1,SL
Miscellaneous life physical and social science technicians,157,846,79,1001,78,780,0.779220779,0.987341772,0.503184713,0.496815287,1,1,STEM
Packaging and filling machine operators and tenders,239,518,118,605,120,482,0.796694215,1.016949153,0.493723849,0.50209205,-2,0,SL
Financial managers,1124,1408,551,1732,573,1130,0.652424942,1.039927405,0.490213523,0.509786477,-22,0,M
