"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WOMENPOLVOICE","POLREPRES","PC","A","2002",25.3,
"AUS","WOMENPOLVOICE","POLREPRES","PC","A","2012",24.7,
"AUS","WOMENPOLVOICE","POLREPRES","PC","A","2015",26.7,
"AUS","WOMENPOLVOICE","POLREPRES","PC","A","2017",28.7,
"AUS","WOMENPOLVOICE","POLREPRES","PC","A","2019",30,
"AUT","WOMENPOLVOICE","POLREPRES","PC","A","2002",26.8,
"AUT","WOMENPOLVOICE","POLREPRES","PC","A","2012",27.9,
"AUT","WOMENPOLVOICE","POLREPRES","PC","A","2015",30.6,
"AUT","WOMENPOLVOICE","POLREPRES","PC","A","2017",30.6,
"AUT","WOMENPOLVOICE","POLREPRES","PC","A","2019",37.2,
"BEL","WOMENPOLVOICE","POLREPRES","PC","A","2002",23.3,
"BEL","WOMENPOLVOICE","POLREPRES","PC","A","2012",38,
"BEL","WOMENPOLVOICE","POLREPRES","PC","A","2015",39.3,
"BEL","WOMENPOLVOICE","POLREPRES","PC","A","2017",38,
"BEL","WOMENPOLVOICE","POLREPRES","PC","A","2019",38,
"CAN","WOMENPOLVOICE","POLREPRES","PC","A","2002",20.6,
"CAN","WOMENPOLVOICE","POLREPRES","PC","A","2012",24.7,
"CAN","WOMENPOLVOICE","POLREPRES","PC","A","2015",26,
"CAN","WOMENPOLVOICE","POLREPRES","PC","A","2017",26.3,
"CAN","WOMENPOLVOICE","POLREPRES","PC","A","2019",26.9,
"CZE","WOMENPOLVOICE","POLREPRES","PC","A","2002",17,
"CZE","WOMENPOLVOICE","POLREPRES","PC","A","2012",22,
"CZE","WOMENPOLVOICE","POLREPRES","PC","A","2015",20,
"CZE","WOMENPOLVOICE","POLREPRES","PC","A","2017",20,
"CZE","WOMENPOLVOICE","POLREPRES","PC","A","2019",22.5,
"DNK","WOMENPOLVOICE","POLREPRES","PC","A","2002",38,
"DNK","WOMENPOLVOICE","POLREPRES","PC","A","2012",39.1,
"DNK","WOMENPOLVOICE","POLREPRES","PC","A","2015",37.4,
"DNK","WOMENPOLVOICE","POLREPRES","PC","A","2017",37.4,
"DNK","WOMENPOLVOICE","POLREPRES","PC","A","2019",37.4,
"FIN","WOMENPOLVOICE","POLREPRES","PC","A","2002",36.5,
"FIN","WOMENPOLVOICE","POLREPRES","PC","A","2012",42.5,
"FIN","WOMENPOLVOICE","POLREPRES","PC","A","2015",41.5,
"FIN","WOMENPOLVOICE","POLREPRES","PC","A","2017",42,
"FIN","WOMENPOLVOICE","POLREPRES","PC","A","2019",47,
"FRA","WOMENPOLVOICE","POLREPRES","PC","A","2002",12.1,
"FRA","WOMENPOLVOICE","POLREPRES","PC","A","2012",26.9,
"FRA","WOMENPOLVOICE","POLREPRES","PC","A","2015",26.2,
"FRA","WOMENPOLVOICE","POLREPRES","PC","A","2017",25.8,
"FRA","WOMENPOLVOICE","POLREPRES","PC","A","2019",39.7,
